Earthquake Name,Earthquake Magnitude,Not Equake,Equake,PGA (g),PGV (cm/sec),PGD (cm),T0.010S,T0.020S,T0.022S,T0.025S,T0.029S,T0.030S,T0.032S,T0.035S,T0.036S,T0.040S,T0.042S,T0.044S,T0.045S,T0.046S,T0.048S,T0.050S,T0.055S,T0.060S,T0.065S,T0.067S,T0.070S,T0.075S,T0.080S,T0.085S,T0.090S,T0.095S,T0.100S,T0.110S,T0.120S,T0.130S,T0.133S,T0.140S,T0.150S,T0.160S,T0.170S,T0.180S,T0.190S,T0.200S,T0.220S,T0.240S,T0.250S,T0.260S,T0.280S,T0.290S,T0.300S,T0.320S,T0.340S,T0.350S,T0.360S,T0.380S,T0.400S,T0.420S,T0.440S,T0.450S,T0.460S,T0.480S,T0.500S,T0.550S,T0.600S,T0.650S,T0.667S,T0.700S,T0.750S,T0.800S,T0.850S,T0.900S,T0.950S,T1.000S,T1.100S,T1.200S,T1.300S,T1.400S,T1.500S,T1.600S,T1.700S,T1.800S,T1.900S,T2.000S,T2.200S,T2.400S,T2.500S,T2.600S,T2.800S,T3.000S,T3.200S,T3.400S,T3.500S,T3.600S,T3.800S,T4.000S,T4.200S,T4.400S,T4.600S,T4.800S,T5.000S,T5.500S,T6.000S,T6.500S,T7.000S,T7.500S,T8.000S,T8.500S,T9.000S,T9.500S,T10.000S,T11.000S,T12.000S,T13.000S,T14.000S,T15.000S,T20.000S
"Helena, Montana-01",6,0,1,0.16,10.05,3.01,0.16,0.16,0.17,0.16,0.17,0.18,0.19,0.21,0.22,0.25,0.23,0.29,0.27,0.26,0.34,0.3,0.35,0.43,0.53,0.42,0.62,0.66,0.59,0.43,0.44,0.36,0.4,0.56,0.69,0.53,0.58,0.65,0.74,0.41,0.44,0.56,0.43,0.36,0.45,0.38,0.49,0.52,0.47,0.43,0.45,0.41,0.44,0.47,0.51,0.51,0.46,0.37,0.27,0.23,0.21,0.19,0.17,0.15,0.13,0.12,0.12,0.12,0.12,0.11,0.12,0.12,0.13,0.13,0.12,0.11,0.09,0.08,0.07,0.06,0.06,0.05,0.05,0.04,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Helena, Montana-02",6,0,1,0.05,0.65,0.04,0.05,0.05,0.05,0.05,0.06,0.05,0.07,0.07,0.07,0.09,0.09,0.09,0.09,0.09,0.11,0.08,0.12,0.17,0.23,0.22,0.22,0.24,0.21,0.17,0.15,0.1,0.07,0.07,0.08,0.08,0.08,0.07,0.06,0.04,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Humbolt Bay,5.8,0,1,0.04,2.79,0.4,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.05,0.04,0.04,0.05,0.05,0.06,0.06,0.06,0.08,0.08,0.08,0.1,0.12,0.14,0.15,0.13,0.11,0.15,0.15,0.15,0.2,0.17,0.15,0.14,0.17,0.17,0.18,0.17,0.22,0.16,0.2,0.18,0.15,0.14,0.12,0.11,0.11,0.11,0.12,0.14,0.16,0.17,0.16,0.11,0.12,0.13,0.09,0.07,0.06,0.05,0.06,0.06,0.05,0.05,0.04,0.03,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Imperial Valley-01,5,0,1,0.02,0.65,0.06,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.02,0.03,0.03,0.03,0.03,0.04,0.04,0.04,0.04,0.05,0.05,0.05,0.06,0.1,0.08,0.09,0.08,0.09,0.09,0.08,0.09,0.11,0.19,0.09,0.09,0.1,0.11,0.08,0.08,0.1,0.1,0.09,0.07,0.05,0.05,0.05,0.04,0.06,0.04,0.04,0.05,0.07,0.04,0.06,0.07,0.04,0.04,0.05,0.04,0.02,0.03,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northwest Calif-01,5.5,0,1,0.12,6.56,0.73,0.12,0.13,0.12,0.12,0.13,0.13,0.13,0.13,0.13,0.14,0.14,0.13,0.14,0.14,0.14,0.14,0.15,0.15,0.15,0.17,0.15,0.17,0.19,0.17,0.22,0.21,0.26,0.28,0.24,0.34,0.29,0.36,0.42,0.41,0.43,0.75,0.76,0.52,0.36,0.36,0.36,0.38,0.44,0.46,0.53,0.41,0.43,0.35,0.33,0.26,0.41,0.46,0.45,0.41,0.41,0.37,0.33,0.32,0.17,0.23,0.18,0.15,0.17,0.13,0.21,0.16,0.16,0.18,0.08,0.06,0.08,0.06,0.04,0.03,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Imperial Valley-02,6.95,0,1,0.23,31.3,18.45,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.24,0.23,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.25,0.27,0.31,0.27,0.28,0.37,0.4,0.53,0.61,0.68,0.9,0.8,0.86,1.25,1.27,0.97,1.36,1.04,1.12,0.89,1.21,1.1,1.28,1.05,1.46,1.18,0.95,0.91,1.09,1.25,0.87,1.01,1.07,1.1,1.18,1.23,1.23,1.28,1.31,0.81,0.91,1.12,0.84,0.81,0.89,1.12,0.51,0.75,0.96,0.83,0.69,0.52,0.48,0.63,0.38,0.44,0.29,0.29,0.27,0.35,0.35,0.38,0.31,0.2,0.18,0.17,0.21,0.17,0.15,0.1,0.08,0.07,0.07,0.05,0.06,0.08,0.05,0.05,0.07,0.09,0.05,0.04,0.04,0.03,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0,0,0,0
Northwest Calif-02,6.6,0,1,0.05,3.56,1.34,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.06,0.05,0.05,0.05,0.06,0.05,0.06,0.06,0.06,0.07,0.07,0.06,0.06,0.08,0.08,0.11,0.09,0.11,0.12,0.14,0.11,0.13,0.19,0.26,0.2,0.14,0.15,0.21,0.36,0.25,0.39,0.3,0.26,0.28,0.23,0.42,0.31,0.25,0.19,0.1,0.14,0.22,0.18,0.15,0.16,0.13,0.14,0.24,0.28,0.14,0.1,0.1,0.08,0.08,0.11,0.09,0.05,0.04,0.07,0.05,0.05,0.04,0.05,0.04,0.03,0.03,0.02,0.03,0.03,0.02,0.01,0.02,0.01,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northern Calif-01,6.4,0,1,0.12,6.36,1.07,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.13,0.13,0.12,0.13,0.14,0.14,0.13,0.16,0.15,0.18,0.19,0.21,0.22,0.2,0.22,0.36,0.3,0.29,0.4,0.36,0.46,0.37,0.57,0.52,0.49,0.45,0.39,0.41,0.45,0.51,0.56,0.53,0.62,0.6,0.42,0.42,0.6,0.45,0.35,0.37,0.33,0.34,0.3,0.23,0.24,0.45,0.45,0.42,0.28,0.18,0.18,0.2,0.2,0.14,0.15,0.11,0.05,0.04,0.05,0.03,0.03,0.03,0.02,0.02,0.02,0.03,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Borrego,6.5,0,1,0.05,6.13,4.23,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.06,0.05,0.06,0.07,0.07,0.07,0.07,0.09,0.08,0.09,0.09,0.13,0.12,0.13,0.16,0.14,0.25,0.28,0.22,0.23,0.22,0.2,0.31,0.33,0.29,0.26,0.22,0.2,0.38,0.32,0.35,0.34,0.3,0.42,0.32,0.23,0.22,0.25,0.32,0.32,0.32,0.21,0.28,0.24,0.32,0.22,0.18,0.21,0.33,0.46,0.16,0.2,0.13,0.15,0.12,0.17,0.21,0.14,0.14,0.12,0.12,0.08,0.1,0.14,0.11,0.14,0.11,0.07,0.11,0.1,0.1,0.06,0.04,0.03,0.02,0.03,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.02,0.02,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.01,0.01,0.01,0,0,0,0,0,0,0
Imperial Valley-03,5.6,0,1,0.03,3.08,0.59,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.04,0.04,0.04,0.04,0.05,0.05,0.06,0.06,0.08,0.1,0.11,0.13,0.13,0.13,0.12,0.19,0.17,0.13,0.14,0.11,0.14,0.12,0.18,0.11,0.11,0.11,0.13,0.15,0.13,0.12,0.12,0.14,0.13,0.13,0.14,0.18,0.15,0.15,0.15,0.16,0.16,0.12,0.22,0.12,0.11,0.1,0.09,0.09,0.08,0.06,0.07,0.04,0.05,0.05,0.04,0.03,0.03,0.03,0.04,0.03,0.03,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
